,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__class_weight,param_clf__max_depth,param_clf__n_estimators,param_tfidf__min_df,param_tfidf__sublinear_tf,params,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,split3_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,split3_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted
72,78.83557683229446,3.8946718256743154,16.628240823745728,2.7309222283134065,balanced_subsample,,50,0.01,True,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': None, 'clf__n_estimators': 50, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': True}",0.4959953244747097,0.4860740011166365,0.47867430496002245,0.4867403332880491,0.4868709909598544,0.006145961839035987,11,0.5555314398248408,0.538380542696471,0.513648940152321,0.5527694588120984,0.5400825953714328,0.01659260686615362,12,0.484789956542733,0.4704559394806788,0.4708396525575624,0.4634920634920635,0.4723944030182594,0.00773104595283404,143
1,78.42945432662964,0.48166559745033216,20.91347771883011,0.5549400050655593,balanced,,50,0.01,False,"{'clf__class_weight': 'balanced', 'clf__max_depth': None, 'clf__n_estimators': 50, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': False}",0.4938806884461203,0.48933137552241385,0.47761388744864114,0.48642559413058195,0.4868128863869393,0.005938606533352581,12,0.5561413492027996,0.5380996429562699,0.5164858502714151,0.5522385207352658,0.5407413407914377,0.015529430072848892,11,0.48189280540801543,0.4759762829687181,0.46718599200330896,0.4631469979296066,0.4720505195774123,0.007335164190867919,144
54,73.19911450147629,0.8622670129925954,24.240092873573303,6.66883966002473,balanced,64,50,0.01,True,"{'clf__class_weight': 'balanced', 'clf__max_depth': 64, 'clf__n_estimators': 50, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': True}",0.4827318756948793,0.47442830916059503,0.4616209985202214,0.4931647594159979,0.47798648569792335,0.011547602674563262,13,0.4980083799136595,0.4764092072169876,0.47082968538912484,0.5256399430413334,0.4927218038902763,0.021545982420820467,17,0.5659791681037456,0.5695495127104205,0.5626637253550255,0.5411318150448585,0.5598310553035126,0.0110672186122562,121
126,38.178830683231354,0.3707203513801539,9.892373502254486,0.11659185007144987,balanced_subsample,64,50,0.01,True,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': 64, 'clf__n_estimators': 50, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': True}",0.4806709204961457,0.47689257856048695,0.46538944006728983,0.4865409040848426,0.47737346080219123,0.007725983068173537,14,0.4884634245477875,0.4789948721205482,0.4594483480773687,0.519029213979012,0.4864839646811791,0.02150652567101167,22,0.5634958957025592,0.5694813603216793,0.5646628981111265,0.5359558316080055,0.5583989964358427,0.013150373408388831,124
60,73.82504826784134,1.9188106865845453,15.19788944721222,6.108022520283467,balanced,64,100,0.01,True,"{'clf__class_weight': 'balanced', 'clf__max_depth': 64, 'clf__n_estimators': 100, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': True}",0.47981533804553483,0.4748655515185069,0.46318083618835804,0.4897451047509215,0.4769017076258303,0.009563607277492898,15,0.49335089980517355,0.4796300372869267,0.47892116663586753,0.5189683653120294,0.4927176172599993,0.016210564606521732,18,0.5637718148582466,0.5688679888230083,0.5616986074727699,0.5445134575569358,0.5597129671777401,0.009155005815304674,122
139,73.72363752126694,2.6655967208049716,10.854456424713135,0.22149980017082951,balanced_subsample,64,200,0.01,False,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': 64, 'clf__n_estimators': 200, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': False}",0.48135448616934096,0.47350459861384786,0.4629763662892873,0.4894292425800883,0.4768161734131411,0.009774873213500894,16,0.5007031026424562,0.47938651214035843,0.47614646383604253,0.5233206280703238,0.49488917667229526,0.018932584714170524,13,0.5631509967579499,0.5700947318203503,0.5606645525989246,0.5432712215320911,0.559295375677329,0.009875981831368922,123
61,76.84353631734848,2.8283939199093893,21.30504310131073,1.7003424806383245,balanced,64,100,0.01,False,"{'clf__class_weight': 'balanced', 'clf__max_depth': 64, 'clf__n_estimators': 100, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': False}",0.47982580829565363,0.4744864722651792,0.4622273069657228,0.4873133432326686,0.47596323268980606,0.009146050739190184,17,0.49346579140252295,0.4750549530647648,0.4885015703950231,0.5186829980418735,0.4939263282260461,0.01580080371799792,16,0.5615644616127474,0.572139303482587,0.5585275058596443,0.5404416839199447,0.5581682387187308,0.01141364094509956,125
132,103.88320565223694,0.2902157658121961,13.693367719650269,6.318141593817026,balanced_subsample,64,100,0.01,True,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': 64, 'clf__n_estimators': 100, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': True}",0.48113313701845223,0.4751677036222978,0.4635952037573268,0.4837994925689855,0.47592388424176557,0.0077738293754081285,18,0.49794759749465056,0.48315111992473797,0.47869010943550233,0.5164284792198023,0.4940543265186733,0.014753807547499914,15,0.5643926329585431,0.5685272268793021,0.5610781745484628,0.5375431331953071,0.5578852918954038,0.012037381236482281,128
127,53.545637249946594,0.8897924881725429,10.156734943389893,0.8124890932946842,balanced_subsample,64,50,0.01,False,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': 64, 'clf__n_estimators': 50, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': False}",0.48045238518917543,0.47481711000768895,0.45953574250327683,0.48826207356173584,0.47576682781546925,0.010517077879429832,19,0.4889145041579006,0.4750061237135871,0.4456101083934063,0.5211985182572882,0.4826823136305456,0.027182763428338915,24,0.5632889563357936,0.5675049410481837,0.5587343168344133,0.5363699102829538,0.5564745311253361,0.012014665462278558,131
66,113.4525533914566,1.4185288284946584,21.743824362754822,6.254109818322387,balanced,64,200,0.01,True,"{'clf__class_weight': 'balanced', 'clf__max_depth': 64, 'clf__n_estimators': 200, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': True}",0.4794919489751035,0.4722622366145728,0.46159914304468014,0.48930299315853537,0.47566408044822295,0.010125062012312884,20,0.4965636842966437,0.47954453664841745,0.482036297786534,0.5201121040414863,0.4945641556932704,0.016118560415113878,14,0.5594950679450921,0.5676412458256662,0.5590790017923618,0.5435472739820566,0.5574406473862943,0.008717552438373802,129
